Designator,Mid X,Mid Y,Rotation,Layer
A1,114.06,-132.08,90,top
C1,108.3,-105.8,270,top
C10,75.9,-121.1775,90,top
C11,110.25,-114.5,270,top
C2,108.45,-109.925,90,top
C3,77.125,-128.7,180,top
C4,77.125,-130.8,0,top
C5,79.7,-120.725,90,top
C6,79.075,-123.7,180,top
C7,80.425,-126.2,180,top
C8,82.75,-140.6,270,top
C9,84,-136.9,0,top
J1,83.55,-106.7,0,top
J2,120.45,-144.6,0,top
J3,126.4075,-115.475,270,top
J4,102.7,-144.6,0,top
J5,92.45,-144.6,0,top
R1,85.6,-114.58,90,top
R10,77.7,-121.1,270,top
R2,108.25,-114.725,270,top
R3,90.4875,-132.7,180,top
R4,90.4875,-134.2,180,top
R5,90.4875,-131.2,180,top
R6,90.4875,-129.7,180,top
R7,90.475,-136,180,top
R8,89.8,-121.5,270,top
R9,89.8,-125.25,270,top
SW1,116.7,-107.7,0,top
U1,79.29,-114.39,270,top
U2,100.025,-110.95,0,top
U3,82.5375,-129.725,90,top
U5,77.25,-138.7,0,top
