Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Nano,1,Arduino_Nano_Every,
"C1, C10, C11",0805,3,1u,C28323
"C12, C8",CP_EIA-3216-18_Kemet-A,2,22u,C11366
"C13, C9",CP_EIA-3216-18_Kemet-A,2,10u, C7171
C2,1206,1,2.2u, C50254
"C3, C4, C5, C7",0603,4,100n,C14663
C6,0603,1,10n,C85973
J1,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,Conn_01x04,
J2,JST_EH_B8B-EH-A_1x08_P2.50mm_Vertical,1,Conn_01x08,
J3,BarrelJack_Horizontal,1,Barrel_Jack,
"J4, J5",JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,2,Conn_01x02,
R1,0603,1,200,C8218
R10,0603,1,1.5M,C137773
R2,0603,1,1M,C22935
"R3, R4, R5, R6, R7",0603,5,47,C23182
"R8, R9",0603,2,5.1k,C23186
SW1,SW_SLW-121586-5A-D,1,SW_SPDT,
U1,DIP-8_W7.62mm,1,INA129,
U2,TO-263-5_TabPin3,1,LT3080xMS8E,C580029
U3,TSSOP-16_4.4x5mm_P0.65mm,1,ADS1220xPW,C48263
U4,SOT-223-3_TabPin2,1,AMS1117-5.0,C6187
U5,SOT-223-3_TabPin2,1,AMS1117-2.5,C12087
