Designator,Mid X,Mid Y,Rotation,Layer
A1,114.06,-132.08,90,top
C1,108.458,-105.6284,270,top
C10,73.7616,-121.05,90,top
C11,110.2932,-114.0082,270,top
C12,90.8012,-117.602,0,top
C13,86.0552,-116.332,90,top
C2,108.5088,-109.6772,90,top
C3,75.545,-130.08,180,top
C4,75.545,-131.8768,0,top
C5,78.6,-120.825,90,top
C6,77.8126,-123.4948,180,top
C7,78.9054,-127.58,180,top
C8,84.1,-138.15,0,top
C9,77.4,-139.15,90,top
J1,83.3212,-106.0196,0,top
J2,120.45,-144.6,0,top
J3,126.4075,-115.475,270,top
J4,102.7,-144.6,0,top
J5,92.45,-144.6,0,top
R1,83.6,-114.5875,90,top
R10,76.025,-121,270,top
R2,108.2932,-114.2332,270,top
R3,90.4875,-132.7,180,top
R4,90.4875,-134.2,180,top
R5,90.4875,-131.2,180,top
R6,90.4875,-129.7,180,top
R7,90.475,-136,180,top
R8,82.2452,-122.1251,270,top
R9,82.2452,-125.4741,270,top
SW1,116.7,-107.7,0,top
U1,77.3,-114.405,180,top
U2,100.0682,-110.4582,0,top
U3,80.9575,-131.105,90,top
U4,88.392,-123.165,90,top
U5,82.2,-143.65,90,top
